2022-09-07T13:21:55,974 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L3_SW_RSP_RM_Platform_RAD600_tobearchieved_CW42_test_CS_folder_correction has been created 
2022-09-07T13:21:59,958 [main] INFO  (FolderCorrectionApplication.java:81) - Folder contents has been moved in project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Platform_RAD600_tobearchieved_CW42
2022-09-07T13:22:07,646 [main] ERROR (RestUtility.java:319) - Sub folder of Source folder cannot be moved in project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Platform_RAD600_tobearchieved_CW42
2022-09-07T13:22:07,647 [main] ERROR (FolderCorrectionApplication.java:87) - Admin Folder contents has not been moved in project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Platform_RAD600_tobearchieved_CW42
2022-09-07T13:22:08,265 [main] INFO  (FolderCorrectionApplication.java:156) - Source folder has been deleted in the project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Platform_RAD600_tobearchieved_CW42
2022-09-07T13:22:12,139 [main] INFO  (FolderCorrectionApplication.java:163) - Source folder has been deleted from the Adminstation artifacts folder for the project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Platform_RAD600_tobearchieved_CW42
2022-09-07T13:22:15,211 [main] INFO  (DNGLoginUtility.java:50) - DNGLogin successful for the project LIB_L3_SW_RM
2022-09-07T13:22:18,299 [main] INFO  (RestUtility.java:723) - baseline test_CS_folder_correction has been created for the project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Generic
2022-09-07T13:22:29,551 [main] INFO  (FolderCorrectionApplication.java:222) - Changeset LIB_L3_SW_RSP_RM_Generic_test_CS_folder_correction has been created 
2022-09-07T13:22:34,469 [main] INFO  (FolderCorrectionApplication.java:81) - Folder contents has been moved in project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Generic
2022-09-07T13:22:44,087 [main] ERROR (RestUtility.java:319) - Sub folder of Source folder cannot be moved in project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Generic
2022-09-07T13:22:44,088 [main] ERROR (FolderCorrectionApplication.java:87) - Admin Folder contents has not been moved in project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Generic
2022-09-07T13:22:44,717 [main] INFO  (FolderCorrectionApplication.java:156) - Source folder has been deleted in the project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Generic
2022-09-07T13:22:48,388 [main] INFO  (FolderCorrectionApplication.java:163) - Source folder has been deleted from the Adminstation artifacts folder for the project LIB_L3_SW_RM,LIB_L3_SW_RSP_RM_Generic
